cod_mun,municipio,cod_uf,alpha_pareto,gini_inf,gini_sup,gini_lognormal,gini_ic_low,gini_ic_high,gini_se,gini_gamma,gini_singh_maddala,melhor_dist,aic_lognormal,aic_gamma,aic_singh_maddala,ln_sigma,ln_mad,gamma_mad,sm_mad,ln_converged,gamma_converged,sm_converged,ln_outside_bounds,pct_sem_declaracao,populacao_considerada,gini_2010,gini_inf_a1_2,gini_sup_a1_2,gini_inf_a1_5,gini_sup_a1_5,gini_inf_a2_0,gini_sup_a2_0
1100015,Alta Floresta D'Oeste - RO,11,1.5,0.4131,0.4475,0.4267,0.4229,0.4305,0.001926,0.4142,0.446,singh_maddala,63614.12,65539.12,63504.65,0.752,0.0097,0.032,0.0028,True,True,True,False,0.0,21445,0.58,0.4131,0.4475,0.4131,0.4475,0.4131,0.4475
1100023,Ariquemes - RO,11,1.5,0.4462,0.4757,0.4438,0.4419,0.4456,0.000945,0.4281,0.4643,singh_maddala,305100.48,316348.02,304908.34,0.8037,0.004,0.0245,0.0048,True,True,True,False,0.0,96130,0.53,0.4615,0.4902,0.4462,0.4757,0.4409,0.4707
1100031,Cabixi - RO,11,1.5,0.4062,0.4427,0.3917,0.3844,0.3989,0.003689,0.3829,0.416,singh_maddala,15881.76,16758.28,15739.17,0.711,0.009,0.03,0.0063,True,True,True,False,0.0,5345,0.51,0.4293,0.4643,0.4062,0.4427,0.3982,0.4351
1100049,Cacoal - RO,11,1.5,0.4707,0.497,0.4704,0.4684,0.4724,0.001016,0.4497,0.4942,singh_maddala,280461.35,290674.85,280439.95,0.8451,0.0067,0.0272,0.0046,True,True,True,False,0.0,86514,0.57,0.4791,0.505,0.4707,0.497,0.4678,0.4943
1100056,Cerejeiras - RO,11,1.5,0.4505,0.4823,0.426,0.4216,0.4304,0.002242,0.4152,0.4368,singh_maddala,48749.41,50820.48,48506.29,0.7643,0.0076,0.0217,0.005,True,True,True,False,0.0,15800,0.5,0.4972,0.5265,0.4505,0.4823,0.4329,0.4657
1100064,Colorado do Oeste - RO,11,1.5,0.4441,0.4741,0.4365,0.432,0.4411,0.00232,0.4274,0.465,singh_maddala,50309.85,53123.75,49857.37,0.8,0.0162,0.036,0.0052,True,True,True,False,0.0,15653,0.49,0.4441,0.4741,0.4441,0.4741,0.4441,0.4741
1100072,Corumbiara - RO,11,1.5,0.3997,0.4356,0.3983,0.3922,0.4045,0.003159,0.379,0.4111,singh_maddala,22176.12,22747.82,22147.66,0.7159,0.0093,0.0258,0.0055,True,True,True,False,0.0,7499,0.48,0.4267,0.461,0.3997,0.4356,0.3901,0.4266
1100080,Costa Marques - RO,11,1.5,0.4536,0.4856,0.4333,0.428,0.4386,0.002712,0.424,0.4568,singh_maddala,38242.74,40017.02,37968.21,0.7916,0.0112,0.031,0.0027,True,True,True,False,0.0,12528,0.52,0.481,0.5114,0.4536,0.4856,0.4438,0.4763
1100098,Espigão D'Oeste - RO,11,1.5,0.4129,0.4472,0.4255,0.4222,0.4288,0.001678,0.4139,0.4338,singh_maddala,91065.56,94384.9,90668.47,0.7728,0.0086,0.0223,0.0039,True,True,True,False,0.0,29347,0.52,0.4129,0.4472,0.4129,0.4472,0.4129,0.4472
1100106,Guajará-Mirim - RO,11,1.5,0.5547,0.5779,0.5646,0.5607,0.5684,0.001956,0.5506,0.5683,lognormal,124053.17,127213.59,124322.62,1.0541,0.0103,0.0247,0.0108,True,True,True,False,0.0,38904,0.54,0.5547,0.5779,0.5547,0.5779,0.5547,0.5779
